phase,action_type,edge
late,do,"('J45.9', 'J18.9')"
late,do,"('J45.9', 'I10')"
late,do,"('J45.9', 'M54.5')"
late,do,"('J45.9', 'B20')"
late,do,"('J45.9', 'I21.9')"
late,do,"('J45.9', 'E11.9')"
late,do,"('J45.9', 'G43.9')"
late,do,"('J45.9', 'K35.80')"
late,do,"('J45.9', 'Q21.1')"
late,do,"('R07.9', 'Q21.1')"
late,do,"('R07.9', 'B20')"
late,do,"('R07.9', 'T14.91')"
late,do,"('R07.9', 'A41.9')"
late,do,"('R07.9', 'Z51.11')"
late,do,"('R07.9', 'R07.9')"
late,do,"('R07.9', 'K35.80')"
late,do,"('R07.9', 'I10')"
late,do,"('R07.9', 'K21.9')"
late,do,"('R07.9', 'E11.9')"
late,do,"('R07.9', 'I21.9')"
late,do,"('R07.9', 'P07.30')"
late,do,"('R07.9', 'N39.0')"
late,do,"('R07.9', 'S06.0X0A')"
late,do,"('R07.9', 'G40.9')"
late,do,"('R07.9', 'G30.0')"
late,do,"('I10', 'N39.0')"
late,do,"('I10', 'S06.0X0A')"
late,do,"('I10', 'J18.9')"
late,do,"('I10', 'L03.90')"
late,do,"('I10', 'B20')"
late,do,"('I10', 'I21.9')"
late,do,"('I10', 'G40.9')"
late,do,"('I10', 'G43.9')"
late,do,"('I10', 'Q21.1')"
late,do,"('I10', 'U07.1')"
late,do,"('I10', 'A41.9')"
late,do,"('I10', 'G30.0')"
late,do,"('I10', 'K35.80')"
late,do,"('I10', 'E11.9')"
late,do,"('I10', 'F80.9')"
late,do,"('N39.0', 'F80.9')"
late,do,"('N39.0', 'K35.80')"
late,do,"('N39.0', 'P07.30')"
late,do,"('N39.0', 'G40.9')"
late,do,"('N39.0', 'Q21.1')"
late,do,"('N39.0', 'N39.0')"
late,do,"('N39.0', 'S06.0X0A')"
late,do,"('N39.0', 'T14.91')"
late,do,"('N39.0', 'I21.9')"
late,do,"('N39.0', 'M54.5')"
late,do,"('N39.0', 'A41.9')"
late,do,"('N39.0', 'E11.9')"
late,do,"('N39.0', 'Z51.11')"
late,do,"('Z51.11', 'K35.80')"
late,do,"('Z51.11', 'K21.9')"
late,do,"('Z51.11', 'I21.9')"
late,do,"('Z51.11', 'B20')"
late,do,"('Z51.11', 'G43.9')"
late,do,"('Z51.11', 'G30.0')"
late,do,"('Z51.11', 'G40.9')"
late,do,"('Z51.11', 'L03.90')"
late,do,"('Z51.11', 'Z51.11')"
late,do,"('Z51.11', 'M54.5')"
late,do,"('Z51.11', 'T14.91')"
late,do,"('K35.80', 'Q21.1')"
late,do,"('K35.80', 'T14.91')"
late,do,"('K35.80', 'J18.9')"
late,do,"('K35.80', 'K21.9')"
late,do,"('K35.80', 'B20')"
late,do,"('K35.80', 'A41.9')"
late,do,"('K35.80', 'G30.0')"
late,do,"('K35.80', 'S06.0X0A')"
late,do,"('K35.80', 'G43.9')"
